date,close,vol,vol2,vol3,br,ar,mtm,mtma,rsi1,rsi2,kdj-j,hsl,mms
 2020/06/09,23.47,10633148,134589,123896,70.87,72.94,-1.45,-2.12,25.82,36.46,1.34,1.31,28.26
 2020/06/10,24.28,22700324,150268,137588,78.22,82.87,-0.75,-1.87,47.52,45.56,26.76,2.79,31.87
 2020/06/11,23.58,18582444,152115,143165,74.41,76.02,-1.71,-1.87,36.46,40.14,17.3,2.28,34.12
 2020/06/12,23.23,12110270,151324,144457,62.09,69.43,-1.55,-1.7,31.99,37.69,11.59,1.49,35.33
 2020/06/15,23.01,12079333,152211,143355,61.4,67.65,-2.1,-1.72,29.28,36.18,6.41,1.48,30.9
 2020/06/16,23.65,20153196,171251,152920,55.07,61.39,-0.83,-1.4,45.41,43.39,31.88,2.48,32.92
 2020/06/17,23.38,15371577,156594,153431,51.23,60.07,-1.94,-1.48,40.71,41.24,37.87,1.89,35.03
 2020/06/18,23.47,9481981,138393,145254,52.14,58.17,-1.72,-1.64,43.07,42.28,44.28,1.17,38.38
 2020/06/19,23.21,19705908,153584,152454,54.3,60.12,-1.5,-1.61,37.85,40.05,34.65,2.42,36.78
 2020/06/22,23.12,11801628,153029,152620,56.77,65.02,-0.66,-1.46,36.04,39.27,25.07,1.45,35.84
 2020/06/23,23.17,12212525,137147,154199,65.61,74.72,-0.73,-1.23,38.02,39.98,24.72,1.5,34.73
 2020/06/24,23.99,27722870,161850,159222,72.84,86.35,0.49,-1.01,61.48,50.36,69.09,3.41,40.34
 2020/06/29,23.4,18189512,179265,158829,72.2,87.04,-0.07,-0.7,46.34,44.34,58.61,2.24,43.2
 2020/06/30,23.61,13763898,167381,160482,68.45,81.61,-0.67,-0.52,51.44,46.81,61.3,1.69,46.96
 2020/07/01,25.19,32848692,209475,181252,88.11,105.68,1.61,0,73.89,61,95.65,4.04,52.1
 2020/07/02,25.47,29283232,243616,190382,94.47,117.97,2.24,0.48,76.22,62.91,103.41,3.6,61.23
 2020/07/03,25.54,27203056,242577,202213,101.82,130.7,2.53,1.02,76.85,63.4,94.38,3.34,69.3
 2020/07/06,26.22,33086324,272370,225818,115.48,146.45,2.57,1.37,82.25,67.9,102.62,4.07,72.4
 2020/07/07,25.82,31510560,307864,237622,104.83,130.54,2.44,1.79,70.61,62.94,95.81,3.87,72.01
 2020/07/08,25.81,26237194,294641,252058,106.3,132.52,2.34,2.29,70.31,62.81,90.82,3.22,71.32
 2020/07/09,27.05,37769420,311613,277615,110.19,140.62,3.84,2.66,81.78,70.69,93.34,4.64,72.17
 2020/07/10,26,25673196,308553,275565,103.12,136.43,2.88,2.77,58.73,59.12,74.29,3.16,69.74
 2020/07/13,27.06,29541746,301464,286917,112.99,155.85,3.89,2.99,69.23,65.36,83.03,3.63,70.23
 2020/07/14,27.8,39047896,316539,312201,131.18,166.7,3.81,3.2,74.64,68.97,87.63,4.8,68.75
 2020/07/15,27.21,22709920,309484,302063,125.25,152.84,3.81,3.43,63.9,63.24,74.93,2.79,70.34
 2020/07/16,25.95,27436814,288819,300216,119.98,146.1,2.34,3.43,46.68,52.98,37.98,3.37,64.16
 2020/07/17,26.95,26294778,290062,299308,135.06,158.36,1.76,3.08,57.57,58.77,44.75,3.23,59.14
 2020/07/20,29.49,43217848,317415,309439,150.9,171.43,4.02,3.27,73.85,69.26,78.82,5.31,61.57
 2020/07/21,29.2,30882268,301083,308811,146.96,165.36,3.66,3.23,70.16,67.13,90.65,3.8,67.91
 2020/07/22,29.32,22013934,299691,304588,150.67,165.82,3.1,3.12,70.88,67.58,96.34,2.71,71.71
 2020/07/23,30.05,25727814,296273,292546,153.39,173.37,4.23,3.19,75.25,70.28,105.14,3.16,72.08
 2020/07/24,28.3,25787036,295258,292660,130.31,152.21,2.49,3.21,52.56,57.72,71.38,3.17,67.5
 2020/07/27,28.94,17180016,243182,280298,146.6,161.7,1.89,3.23,58.1,60.54,64.66,2.11,64.04
 2020/07/28,28.25,16127965,213674,257378,140.23,152.31,2.25,2.94,50.47,56.14,50.57,1.98,57.33
 2020/07/29,28.6,16433077,202512,251102,142.82,160.2,1.54,2.58,54.14,57.83,48.67,2.02,57.42
